x, y, z
4.5017, -10.2366, 11.1548
4.5017, -10.2366, 11.1548
1.55508, -5.75673, 7.46906
-1.91832, -9.36446, 6.30174
-1.91832, -9.36446, 6.30174
-1.91832, -9.36446, 6.30174
-1.91832, -9.36446, 6.30174
-2.81473, -10.6683, 11.5254
-3.80403, -10.4251, 14.2643
-0.811717, -5.89551, 17.354
-0.811717, -5.89551, 17.354
-0.811717, -5.89551, 17.354
0.58215, -6.79404, 18.0602
-2.60632, -3.48439, 16.1738
-2.60632, -3.48439, 16.1738
-2.60632, -3.48439, 16.1738
1.04815, -6.51361, 18.8228
5.37516, -8.86117, 16.7619
5.37516, -8.86117, 16.7619
5.37516, -8.86117, 16.7619
8.82394, -10.4856, 11.1972
4.11139, -10.0697, 13.5028
0.788412, -6.52335, 9.18492
-4.55378, -6.99425, 7.78266
-6.50792, -5.2905, 10.762
-6.50792, -5.2905, 10.762
-0.932692, -7.11693, 14.3038
-3.52352, -6.88409, 14.7662
1.52845, -10.2423, 10.5317
1.23758, -10.8027, 13.1803
0.275363, -12.0093, 12.5367
-5.34666, -14.8095, 11.4704
-5.34666, -14.8095, 11.4704
-4.82696, -9.17734, 10.408
-0.994198, -10.0387, 11.7655
-0.994198, -10.0387, 11.7655
3.51356, -7.24707, 14.4772
3.51356, -7.24707, 14.4772
6.66629, -2.92296, 12.6111
3.49894, -1.03469, 10.1271
4.47744, -5.88319, 11.5446
4.31414, -8.27962, 6.30017
4.85707, -11.6629, 8.15238
4.85707, -11.6629, 8.15238
1.68908, -7.85847, 10.6621
5.10028, -2.27414, 8.86068
5.10028, -2.27414, 8.86068
4.39202, -5.20324, 7.57104
3.79967, -4.01004, 12.1661
9.43545, 1.05835, 10.5009
7.60001, 4.29189, 6.3209
7.60001, 4.29189, 6.3209
7.60001, 4.29189, 6.3209
7.60001, 4.29189, 6.3209
7.60001, 4.29189, 6.3209
2.98871, 5.85163, 11.1506
1.65099, 3.38367, 13.2413
0.269343, 3.64825, 10.2944
0.727653, -1.89551, 7.74737
3.4665, -2.4732, 10.3324
3.4665, -2.4732, 10.3324
3.4665, -2.4732, 10.3324
3.4665, -2.4732, 10.3324
4.74322, 0.315576, 8.65733
6.77315, 2.42815, 10.5731
1.26757, 4.04263, 7.82046
3.05966, 8.30641, 9.05381
3.05966, 8.30641, 9.05381
4.57821, 7.68084, 8.82377
0.605919, 6.60562, 6.24489
-1.22351, 4.24342, 6.5055
1.81103, 0.255488, 4.82096
2.88067, 2.1646, 7.16546
3.15385, 7.16956, 8.08029
1.02949, 2.31813, 8.54686
1.02949, 2.31813, 8.54686
1.02949, 2.31813, 8.54686
-2.31598, -2.38164, 12.3487
-2.31598, -2.38164, 12.3487
-7.67637, 2.86568, 11.9163
-7.72703, 7.52295, 9.6872
-7.72703, 7.52295, 9.6872
-7.72703, 7.52295, 9.6872
-7.72703, 7.52295, 9.6872
-3.01252, 5.97756, 4.35148
-3.01252, 5.97756, 4.35148
-3.01252, 5.97756, 4.35148
1.90549, 1.63966, 1.45364
1.90549, 1.63966, 1.45364
1.79529, -3.45446, 0.391493
-0.557337, -4.31074, -0.945997
3.62931, -1.5092, -2.10136
3.81798, 1.65642, -5.89279
6.1191, -3.41088, -8.846
6.1191, -3.41088, -8.846
6.1191, -3.41088, -8.846
6.1191, -3.41088, -8.846
3.9746, -6.67858, -9.26273
4.98555, -4.03624, -5.73433
7.8553, -3.60813, -8.75434
7.8553, -3.60813, -8.75434
9.20481, -2.37192, -5.22851
9.20481, -2.37192, -5.22851
9.20481, -2.37192, -5.22851
9.20481, -2.37192, -5.22851
9.20481, -2.37192, -5.22851
9.83641, -0.27253, -6.38966
11.8205, 3.09641, -2.21184
8.47585, 2.00392, -7.17184
8.47585, 2.00392, -7.17184
7.83416, -1.48674, -5.46851
4.82446, -4.60738, -2.92713
6.47239, -0.284768, -7.88285
6.8972, -0.718944, -7.16309
6.8972, -0.718944, -7.16309
6.8972, -0.718944, -7.16309
6.8972, -0.718944, -7.16309
6.8972, -0.718944, -7.16309
6.8972, -0.718944, -7.16309
