                  mu               sigma              energy
            0.883333            0.866667           -0.047734
            0.883333            0.883333           0.0136794
            0.883333                 0.9            0.005541
            0.883333            0.916667           0.0759258
            0.883333            0.933333            0.123391
            0.883333                0.95            0.181107
            0.883333            0.966667            0.243648
            0.883333            0.983333            0.250521
                 0.9                 0.5           -0.238547
                 0.9            0.516667           -0.294614
                 0.9            0.533333           -0.329269
                 0.9                0.55           -0.364942
                 0.9            0.566667           -0.386049
                 0.9            0.583333            -0.39634
                 0.9                 0.6           -0.402269
                 0.9            0.616667           -0.404691
                 0.9            0.633333           -0.396171
                 0.9                0.65           -0.389969
                 0.9            0.666667           -0.367817
                 0.9            0.683333           -0.367949
                 0.9                 0.7           -0.343802
                 0.9            0.716667            -0.33746
                 0.9            0.733333           -0.312901
                 0.9                0.75           -0.242564
                 0.9            0.766667           -0.220738
                 0.9            0.783333           -0.202628
                 0.9                 0.8            -0.15573
                 0.9            0.816667            -0.14337
                 0.9            0.833333          -0.0926491
                 0.9                0.85          -0.0917493
                 0.9            0.866667         0.000267904
                 0.9            0.883333           0.0489171
                 0.9                 0.9           0.0431728
                 0.9            0.916667            0.157682
                 0.9            0.933333            0.180847
                 0.9                0.95            0.204529
                 0.9            0.966667            0.219178
                 0.9            0.983333            0.259795
            0.916667                 0.5           -0.233685
            0.916667            0.516667           -0.276564
            0.916667            0.533333           -0.321456
            0.916667                0.55           -0.340534
            0.916667            0.566667           -0.367438
            0.916667            0.583333           -0.390475
            0.916667                 0.6           -0.389023
            0.916667            0.616667           -0.384603
            0.916667            0.633333           -0.387234
            0.916667                0.65           -0.379811
            0.916667            0.666667           -0.365808
            0.916667            0.683333           -0.334774
            0.916667                 0.7           -0.319078
            0.916667            0.716667           -0.308144
            0.916667            0.733333           -0.261984
            0.916667                0.75           -0.254236
            0.916667            0.766667           -0.217963
            0.916667            0.783333           -0.185162
            0.916667                 0.8           -0.175287
            0.916667            0.816667           -0.115183
            0.916667            0.833333          -0.0543149
            0.916667                0.85          -0.0392664
            0.916667            0.866667           0.0332943
            0.916667            0.883333           0.0455946
            0.916667                 0.9            0.115748
            0.916667            0.916667            0.168487
            0.916667            0.933333            0.196044
            0.916667                0.95            0.284302
            0.916667            0.966667            0.294853
            0.916667            0.983333             0.36998
            0.933333                 0.5           -0.215399
            0.933333            0.516667           -0.269456
            0.933333            0.533333           -0.297843
            0.933333                0.55           -0.328025
            0.933333            0.566667           -0.349152
            0.933333            0.583333           -0.362591
            0.933333                 0.6            -0.37562
            0.933333            0.616667           -0.365217
            0.933333            0.633333           -0.363657
            0.933333                0.65           -0.346677
            0.933333            0.666667           -0.354296
            0.933333            0.683333           -0.326265
            0.933333                 0.7            -0.28093
            0.933333            0.716667             -0.2897
            0.933333            0.733333           -0.249863
            0.933333                0.75           -0.245722
            0.933333            0.766667           -0.170813
            0.933333            0.783333          -0.0822402
            0.933333                 0.8           -0.138311
            0.933333            0.816667          -0.0527328
            0.933333            0.833333          -0.0735859
            0.933333                0.85          -0.0414797
            0.933333            0.866667           0.0764944
            0.933333            0.883333           0.0900677
            0.933333                 0.9            0.179571
            0.933333            0.916667             0.19965
            0.933333            0.933333            0.214365
            0.933333                0.95            0.269988
            0.933333            0.966667            0.359458
            0.933333            0.983333            0.406364
                0.95                 0.5           -0.189734
                0.95            0.516667           -0.241162
                0.95            0.533333           -0.282645
                0.95                0.55            -0.30814
                0.95            0.566667           -0.338749
                0.95            0.583333           -0.348986
                0.95                 0.6            -0.34754
                0.95            0.616667           -0.356402
                0.95            0.633333           -0.341509
                0.95                0.65           -0.318351
                0.95            0.666667           -0.313841
                0.95            0.683333           -0.295824
                0.95                 0.7           -0.274304
                0.95            0.716667           -0.277769
                0.95            0.733333           -0.224624
                0.95                0.75           -0.183495
                0.95            0.766667           -0.113261
                0.95            0.783333           -0.133442
                0.95                 0.8          -0.0760648
                0.95            0.816667           -0.073794
                0.95            0.833333          -0.0129288
                0.95                0.85           0.0170398
                0.95            0.866667           0.0512925
                0.95            0.883333            0.123923
                0.95                 0.9            0.196565
                0.95            0.916667            0.265459
                0.95            0.933333            0.281896
