           Iteration         Path Length         Temperature
               54300             351.153                8.55
               54400                 334                 8.4
               54500             355.791                8.25
               54600             422.757                 8.1
               54700             398.749                7.95
               54800             387.194                 7.8
               54900             376.014                7.65
               55000             358.449                 7.5
               55100             366.682                7.35
               55200             363.034                 7.2
               55300             356.658                7.05
               55400             372.899                 6.9
               55500             382.312                6.75
               55600             353.579                 6.6
               55700             359.663                6.45
               55800             351.508                 6.3
               55900             346.787                6.15
               56000              371.42                   6
               56100             362.684                5.85
               56200             365.799                 5.7
               56300             358.654                5.55
               56400             361.674                 5.4
               56500             363.591                5.25
               56600             384.086                 5.1
               56700             369.634                4.95
               56800             380.085                 4.8
               56900             378.159                4.65
               57000             373.129                 4.5
               57100               346.1                4.35
               57200             339.713                 4.2
               57300             342.972                4.05
               57400             338.164                 3.9
               57500             338.749                3.75
               57600             338.362                 3.6
               57700             334.561                3.45
               57800             339.804                 3.3
               57900             339.026                3.15
               58000             336.506                   3
               58100             342.522                2.85
               58200              339.59                 2.7
               58300             351.096                2.55
               58400             336.989                 2.4
               58500             335.787                2.25
               58600             338.384                 2.1
               58700              336.69                1.95
               58800             331.446                 1.8
               58900             328.406                1.65
               59000             330.662                 1.5
               59100             331.679                1.35
               59200             329.091                 1.2
               59300              330.04                1.05
               59400              329.19                 0.9
               59500             330.069                0.75
               59600             331.296                 0.6
               59700             328.849                0.45
               59800             327.425                 0.3
               59900             326.837                0.15
